Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
JNPT,Western,IMPORT,ZMOU8851996,40,,,7/8/2020 21:10,Y,35090996,Jawaharlal Nehru Port Container Terminal (JNPCT),11/8/2020 13:52,TRUCK
"ICTT, Kochi",Southern,IMPORT,ZMOU8852077,40,,N,10/8/2020 15:01,Y,35167070,"International Container Transhipment Terminal, Kochi",11/8/2020 13:21,TRUCK
JNPT,Western,EXPORT,ZMOU8854790,40,,N,28/7/2020 23:12,N,34826974,Gateway Terminals India (GTI),29/7/2020 19:36,RAIL
JNPT,Western,EXPORT,ZMOU8854932,40,,N,21/8/2020 13:59,,35489804,Nhava Sheva International Container Terminal (NSICT),21/8/2020 14:01,RAIL
JNPT,Western,IMPORT,ZMOU8854948,40,,,7/8/2020 20:38,Y,35090997,Jawaharlal Nehru Port Container Terminal (JNPCT),10/8/2020 17:12,TRUCK
JNPT,Western,EXPORT,ZMOU8860133,40,,N,23/8/2020 02:50,,35247295,Nhava Sheva International Container Terminal (NSICT),23/8/2020 02:52,RAIL
APSEZ,Western,IMPORT,ZMOU8860154,40,35187134,,11/8/2020 07:18,,,Adani Mundra Container Terminal (AMCT),11/8/2020 11:40,TRUCK
JNPT,Western,IMPORT,ZMOU8860278,40,,,8/8/2020 17:24,Y,35116382,Jawaharlal Nehru Port Container Terminal (JNPCT),10/8/2020 17:44,TRUCK
JNPT,Western,IMPORT,ZMOU8861124,40,,,8/8/2020 17:13,Y,35116383,Jawaharlal Nehru Port Container Terminal (JNPCT),11/8/2020 13:51,TRUCK
JNPT,Western,EXPORT,ZMOU8861187,40,,N,25/7/2020 18:03,,34736348,Gateway Terminals India (GTI),28/7/2020 09:25,RAIL
APSEZ,Western,IMPORT,ZMOU8861192,40,35313820,,15/8/2020 08:30,,,Adani Mundra Container Terminal (AMCT),19/8/2020 21:38,TRUCK
Chennai Port,Southern,IMPORT,ZMOU8861314,40,,N,12/8/2020 22:41,Y,35238845,Chennai Container Terminal Pvt. Ltd. (CCTL),15/8/2020 12:12,TRUCK
